"Date","Price","Open","High","Low","Vol.","Change %"
"26/10/2007","6,661.30","6,576.30","6,684.10","6,567.10","","1.29%"
"25/10/2007","6,576.30","6,482.00","6,587.60","6,482.00","","1.45%"
"24/10/2007","6,482.00","6,514.00","6,550.90","6,460.90","","-0.49%"
"23/10/2007","6,514.00","6,459.30","6,562.70","6,459.30","","0.85%"
"22/10/2007","6,459.30","6,527.90","6,527.90","6,413.40","","-1.05%"
"19/10/2007","6,527.90","6,609.40","6,615.80","6,523.60","","-1.23%"
"18/10/2007","6,609.40","6,677.70","6,722.00","6,584.90","","-1.02%"
"17/10/2007","6,677.70","6,614.30","6,690.50","6,594.90","","0.96%"
"16/10/2007","6,614.30","6,644.50","6,644.50","6,596.30","","-0.45%"
"15/10/2007","6,644.50","6,730.70","6,751.70","6,632.10","","-1.28%"
"12/10/2007","6,730.70","6,724.50","6,730.70","6,660.00","","0.09%"
"11/10/2007","6,724.50","6,633.00","6,730.10","6,633.00","","1.38%"
"10/10/2007","6,633.00","6,615.40","6,633.00","6,587.70","","0.27%"
"09/10/2007","6,615.40","6,540.90","6,625.30","6,527.50","","1.14%"
"08/10/2007","6,540.90","6,595.80","6,605.60","6,540.90","","-0.83%"
"05/10/2007","6,595.80","6,547.90","6,605.10","6,547.90","","0.73%"
"04/10/2007","6,547.90","6,535.20","6,593.30","6,507.20","","0.19%"
"03/10/2007","6,535.20","6,500.40","6,542.80","6,495.00","","0.54%"
"02/10/2007","6,500.40","6,506.20","6,567.00","6,489.60","","-0.09%"
"01/10/2007","6,506.20","6,466.80","6,514.50","6,419.20","","0.61%"
"28/09/2007","6,466.80","6,486.40","6,500.40","6,411.80","","-0.30%"
"27/09/2007","6,486.40","6,433.00","6,508.00","6,433.00","","0.83%"
"26/09/2007","6,433.00","6,396.90","6,484.40","6,396.90","","0.56%"
"25/09/2007","6,396.90","6,465.90","6,465.90","6,367.00","","-1.07%"
"24/09/2007","6,465.90","6,456.70","6,494.20","6,437.30","","0.14%"
"21/09/2007","6,456.70","6,429.00","6,481.60","6,409.90","","0.43%"
"20/09/2007","6,429.00","6,460.00","6,460.00","6,395.10","","-0.48%"
"19/09/2007","6,460.00","6,283.30","6,512.40","6,283.30","","2.81%"
"18/09/2007","6,283.30","6,182.80","6,298.50","6,158.80","","1.63%"
"17/09/2007","6,182.80","6,289.30","6,289.30","6,168.00","","-1.69%"
"14/09/2007","6,289.30","6,363.90","6,363.90","6,209.10","","-1.17%"
"13/09/2007","6,363.90","6,306.20","6,374.50","6,280.20","","0.91%"
"12/09/2007","6,306.20","6,280.70","6,317.10","6,232.00","","0.41%"
"11/09/2007","6,280.70","6,134.10","6,280.70","6,134.10","","2.39%"
"10/09/2007","6,134.10","6,191.20","6,232.10","6,123.10","","-0.92%"
"07/09/2007","6,191.20","6,313.30","6,342.70","6,179.10","","-1.93%"
"06/09/2007","6,313.30","6,270.70","6,327.30","6,217.50","","0.68%"
"05/09/2007","6,270.70","6,376.80","6,390.50","6,264.50","","-1.66%"
"04/09/2007","6,376.80","6,315.20","6,378.00","6,274.90","","0.98%"
"03/09/2007","6,315.20","6,303.30","6,334.40","6,303.20","","0.19%"
"31/08/2007","6,303.30","6,212.00","6,309.50","6,212.00","","1.47%"
"30/08/2007","6,212.00","6,132.20","6,220.80","6,122.50","","1.30%"
"29/08/2007","6,132.20","6,102.20","6,137.90","6,056.50","","0.49%"
"28/08/2007","6,102.20","6,220.10","6,220.10","6,083.90","","-1.90%"
"24/08/2007","6,220.10","6,196.90","6,232.20","6,182.40","","0.37%"
"23/08/2007","6,196.90","6,196.00","6,287.20","6,194.40","","0.01%"
"22/08/2007","6,196.00","6,086.10","6,196.60","6,086.10","","1.81%"
"21/08/2007","6,086.10","6,078.70","6,118.90","6,031.80","","0.12%"
"20/08/2007","6,078.70","6,064.20","6,163.40","6,064.20","","0.24%"
"17/08/2007","6,064.20","5,858.90","6,134.00","5,821.70","","3.50%"
"16/08/2007","5,858.90","6,109.30","6,109.30","5,858.90","","-4.10%"
"15/08/2007","6,109.30","6,143.50","6,143.50","6,041.70","","-0.56%"
"14/08/2007","6,143.50","6,219.00","6,264.90","6,132.20","","-1.21%"
"13/08/2007","6,219.00","6,038.30","6,237.80","6,038.30","","2.99%"
"10/08/2007","6,038.30","6,271.20","6,271.20","6,038.30","","-3.71%"
"09/08/2007","6,271.20","6,393.90","6,393.90","6,228.00","","-1.92%"
"08/08/2007","6,393.90","6,308.80","6,406.30","6,308.80","","1.35%"
"07/08/2007","6,308.80","6,189.10","6,308.80","6,189.10","","1.93%"
"06/08/2007","6,189.10","6,224.30","6,245.90","6,161.50","","-0.57%"
"03/08/2007","6,224.30","6,300.30","6,333.50","6,212.20","","-1.21%"
"02/08/2007","6,300.30","6,250.60","6,319.30","6,250.60","","0.80%"
"01/08/2007","6,250.60","6,360.10","6,360.10","6,187.20","","-1.72%"
"31/07/2007","6,360.10","6,206.10","6,361.10","6,206.10","","2.48%"
"30/07/2007","6,206.10","6,215.20","6,256.50","6,186.20","","-0.15%"
"27/07/2007","6,215.20","6,251.20","6,315.20","6,192.30","","-0.58%"
"26/07/2007","6,251.20","6,454.30","6,474.70","6,251.20","","-3.15%"
"25/07/2007","6,454.30","6,498.70","6,533.60","6,436.70","","-0.68%"
"24/07/2007","6,498.70","6,624.40","6,624.40","6,498.70","","-1.90%"
"23/07/2007","6,624.40","6,585.20","6,624.40","6,583.50","","0.60%"
"20/07/2007","6,585.20","6,640.20","6,674.30","6,580.00","","-0.83%"
"19/07/2007","6,640.20","6,567.10","6,658.80","6,567.10","","1.11%"
"18/07/2007","6,567.10","6,659.10","6,659.10","6,567.10","","-1.38%"
"17/07/2007","6,659.10","6,697.70","6,698.50","6,628.10","","-0.58%"
"16/07/2007","6,697.70","6,716.70","6,735.80","6,679.20","","-0.28%"
"13/07/2007","6,716.70","6,697.70","6,754.10","6,697.70","","0.28%"
"12/07/2007","6,697.70","6,615.10","6,697.70","6,594.70","","1.25%"
"11/07/2007","6,615.10","6,630.90","6,630.90","6,574.20","","-0.24%"
"10/07/2007","6,630.90","6,712.70","6,734.30","6,620.50","","-1.22%"
"09/07/2007","6,712.70","6,690.10","6,725.90","6,690.10","","0.34%"
"06/07/2007","6,690.10","6,635.20","6,690.40","6,635.20","","0.83%"
"05/07/2007","6,635.20","6,673.10","6,691.80","6,625.80","","-0.57%"
"04/07/2007","6,673.10","6,639.80","6,682.90","6,639.80","","0.50%"
"03/07/2007","6,639.80","6,590.60","6,645.30","6,590.60","","0.75%"
"02/07/2007","6,590.60","6,607.90","6,612.80","6,570.50","","-0.26%"
"29/06/2007","6,607.90","6,571.30","6,607.90","6,519.60","","0.56%"
"28/06/2007","6,571.30","6,527.60","6,575.50","6,527.60","","0.67%"
"27/06/2007","6,527.60","6,559.30","6,559.30","6,496.40","","-0.48%"
"26/06/2007","6,559.30","6,588.40","6,593.50","6,539.90","","-0.44%"
"25/06/2007","6,588.40","6,567.40","6,591.40","6,522.30","","0.32%"
"22/06/2007","6,567.40","6,596.00","6,612.30","6,562.20","","-0.43%"
"21/06/2007","6,596.00","6,649.30","6,649.30","6,563.90","","-0.80%"
"20/06/2007","6,649.30","6,650.20","6,692.60","6,647.60","","-0.01%"
"19/06/2007","6,650.20","6,703.50","6,721.40","6,650.20","","-0.80%"
"18/06/2007","6,703.50","6,732.40","6,751.30","6,696.80","","-0.43%"
"15/06/2007","6,732.40","6,649.90","6,734.20","6,649.90","","1.24%"
"14/06/2007","6,649.90","6,559.60","6,654.30","6,559.60","","1.38%"
"13/06/2007","6,559.60","6,520.40","6,567.30","6,483.60","","0.60%"
"12/06/2007","6,520.40","6,567.50","6,586.60","6,513.70","","-0.72%"
"11/06/2007","6,567.50","6,505.10","6,567.50","6,505.10","","0.96%"
"08/06/2007","6,505.10","6,505.10","6,519.40","6,451.40","","0.00%"
"07/06/2007","6,505.10","6,522.70","6,574.90","6,478.00","","-0.27%"
"06/06/2007","6,522.70","6,632.80","6,636.90","6,511.70","","-1.66%"
"05/06/2007","6,632.80","6,664.10","6,686.60","6,625.70","","-0.47%"
"04/06/2007","6,664.10","6,676.70","6,686.10","6,641.20","","-0.19%"
"01/06/2007","6,676.70","6,621.40","6,676.70","6,621.30","","0.84%"
"31/05/2007","6,621.40","6,602.10","6,650.20","6,602.10","","0.29%"
